Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
Rishabh Instrum.,543977,RISHABH,INE0N2P01017,Electrical Equipment,Other Electrical Equipment,687.70,2660.89,147.60,729.85,511.39,5.78,80.54,69.40,19.03,-3.40,19.70,19.70,-3.30,23.47,20.51,22.09,0.00,32.91,207.30,5.59,783.09,5.63,4.18,19.37,80.86,14.50,12.02,110.03,9.77,3.67,108.48,64.95,509.61,34.92,5.96,57.40,198.08,-0.24,201.83,706.48,0.14,532.80,16.76,3.56,198.28,30707.00,32231.00,40235.00,1.17,11.21,18.21,201.83
Ritco Logistics,542383,RITCO,INE01EG01016,Transport Services,Logistics Solution Provider,311.20,890.74,104.65,444.00,263.95,4.98,473.87,62.69,5.50,-43.36,9.71,5.60,-13.47,10.63,9.63,9.33,0.00,27.96,408.73,13.42,1509.97,16.89,3.05,3.47,31.86,10.14,10.47,-26.13,0.95,,-33.45,-16.04,263.47,26.36,3.71,57.78,19.25,-11.86,1.85,335.81,8.20,594.07,13.41,2.44,365.12,10443.00,11151.00,13355.00,0.03,2.73,34.02,1.85
Rites,541556,RITES,INE320J01015,Construction,Civil Construction,218.01,10477.64,677.57,413.08,223.23,22.39,6.59,72.20,87.21,8.88,80.10,129.97,-29.83,123.26,115.10,109.10,0.00,25.10,628.14,14.47,2457.79,11.28,8.67,97.78,417.38,22.00,15.42,8.16,18.37,1.85,327.48,637.06,223.28,141.92,2.29,46.86,3375.12,12.78,2946.15,2200.64,103.57,4459.21,10.97,3.91,532.20,379928.00,386213.00,402334.00,3.43,8.74,15.63,2946.15
RNFI Services,,RNFI,INE0SA001017,Finance,Other Financial Services,292.65,742.07,63.22,404.00,277.64,27.56,29.33,64.35,4.58,-11.58,5.18,7.59,-39.47,8.15,9.52,8.79,0.00,26.15,239.44,7.94,988.92,6.49,8.14,5.06,28.38,27.26,20.57,34.44,1.87,4.91,-16.64,29.90,277.49,12.88,2.91,65.81,119.21,-1.81,99.08,144.63,2.10,282.53,10.86,4.32,269.91,1570.00,1552.00,1390.00,1.17,2.42,32.06,99.08
RNIT AI Solution,517286,,INE335Q01026,Auto Components,Auto Components & Equipments,86.87,736.59,21.55,93.68,58.17,7.27,18.04,63.24,1.27,54.88,0.82,4.35,-70.80,5.84,3.60,3.25,0.00,59.07,20.58,49.99,53.10,56.68,25.60,1.27,12.47,20.15,16.63,71.29,16.18,,11.23,-6.82,57.88,7.93,0.69,69.83,7.76,-12.11,28.68,54.25,0.00,78.14,32.48,5.30,7.85,7956.00,7567.00,16786.00,0.00,1.71,35.05,28.68
Roadstar Infra,544374,ROADSTAR,INE0JEI23010,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",63.03,2870.87,516.12,80.00,70.84,9.96,3305.93,,35.25,129.45,-119.70,-154.89,121.97,-23.05,28.50,-24.77,0.00,,292.23,4.40,1149.15,9.29,-2.51,34.20,-112.64,2.18,-5.59,19.62,11.57,,848.83,756.52,70.92,164.03,-0.51,56.88,768.88,9.16,734.00,-490.23,45.87,1315.54,8.15,0.73,295.57,,,,,,,734.00
Rolex Rings,543325,ROLEXRINGS,INE645S01024,Auto Components,Auto Components & Equipments,184.45,4838.73,280.49,279.41,143.94,2.69,0.00,52.24,60.14,22.34,49.16,39.52,40193.33,49.62,47.75,44.34,5.13,24.99,283.25,4.37,1156.25,1.82,4.38,60.14,193.60,21.16,15.70,4.92,19.76,2.13,189.59,227.24,143.53,59.38,1.89,69.09,67.98,14.48,79.16,1186.34,288.25,848.09,16.31,4.14,304.34,97151.00,75066.00,52250.00,5.40,28.76,13.61,79.16
Rossari Biotech,543213,ROSSARI,INE02A801020,Chemicals & Petrochemicals,Specialty Chemicals,500.05,2769.98,290.63,1620.60,536.44,27.62,435.94,68.14,35.10,4.46,33.60,45.97,-23.65,48.95,32.77,36.88,0.00,18.38,712.36,21.54,2549.85,19.47,28.23,35.10,150.72,13.33,10.77,11.59,5.03,2.60,65.07,137.44,536.80,84.27,8.84,45.75,57.16,-5.86,92.21,1322.27,62.29,1200.80,9.58,2.08,697.20,87580.00,86972.00,91791.00,2.03,14.64,15.19,92.21
Rossell Techsys,544294,ROSSTECH,INE0OJW01016,Aerospace & Defense,Aerospace & Defense,1099.95,4146.42,67.71,1172.00,863.15,6.15,409.41,74.80,7.14,116.36,3.30,7.52,-5.05,13.73,5.41,5.67,0.00,156.59,223.57,77.56,552.37,82.91,77.09,7.14,26.48,11.50,15.72,73.64,4.62,,-82.80,-42.26,860.77,29.42,3.64,58.98,4.08,-12.20,47.50,147.32,0.00,504.38,57.61,26.78,154.46,26662.00,19467.00,15019.00,1.68,0.78,22.74,47.50
Roto Pumps,517500,ROTO,INE535D01037,Industrial Products,"Compressors, Pumps & Diesel Engines",65.51,1234.51,56.45,124.77,65.91,23.41,31.80,66.80,9.25,46.83,6.30,5.73,61.43,8.04,6.78,5.96,0.00,44.53,67.89,4.84,294.36,-2.58,14.75,9.25,27.72,14.81,10.74,-19.77,12.24,3.28,36.84,36.17,65.91,12.62,0.43,46.09,29.51,5.37,22.77,221.41,0.00,207.59,21.63,5.14,75.60,69840.00,64755.00,48500.00,0.19,0.11,32.91,22.77
Route Mobile,543228,ROUTE,INE450U01017,Telecom - Services,Other Telecom Services,523.45,3297.90,596.06,2389.00,602.10,41.21,41.98,74.85,62.61,17.67,53.21,109.32,-40.09,99.15,102.56,-18.83,0.00,9.32,1136.85,1.56,4508.89,-0.31,9.58,68.55,353.95,17.41,12.58,15.71,5.95,1.02,581.16,602.48,602.89,126.74,14.37,50.03,1332.73,11.56,1388.67,2706.59,16.99,2529.94,3.24,1.19,1151.51,155829.00,158659.00,157406.00,2.40,3.46,19.29,1388.67
Royal Orch.Hotel,532699,ROHLTD,INE283H01019,Leisure Services,Hotels & Resorts,306.20,839.76,110.63,594.10,348.96,48.46,640.69,64.07,6.42,-41.32,10.94,6.94,-17.17,-1.72,9.62,4.30,0.00,31.49,103.40,30.57,412.60,26.86,36.11,6.80,26.66,10.84,12.66,-46.00,6.34,1.38,82.26,24.69,349.39,22.01,-0.59,43.73,56.79,4.87,40.19,230.73,76.88,155.04,12.01,3.25,107.21,24315.00,24409.00,26590.00,8.57,0.91,26.46,40.19
